Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.130022,0.138951,0.124442,0.129464,0.101327,6366416000
1985-02-01,0.129464,0.137277,0.110491,0.110491,0.086477,4733388800
1985-03-01,0.110491,0.116071,0.092634,0.098772,0.077305,4615587200
1985-04-01,0.098772,0.102679,0.087612,0.094866,0.074248,2868028800
1985-05-01,0.094866,0.099330,0.075335,0.077567,0.060709,4639129600
1985-06-01,0.075893,0.082589,0.065848,0.080357,0.062893,5811388800
1985-07-01,0.080915,0.081473,0.070871,0.070871,0.055468,2600595200
1985-08-01,0.070871,0.071987,0.064732,0.066964,0.052410,1818745600
1985-09-01,0.066964,0.077009,0.065848,0.070313,0.055032,1797196800
1985-10-01,0.070313,0.085938,0.066964,0.083147,0.065076,3785913600
1985-11-01,0.083147,0.092634,0.083147,0.089844,0.070318,2884672000
1985-12-01,0.089844,0.102121,0.085938,0.098214,0.076869,3571209600
1986-01-01,0.098214,0.110491,0.097098,0.103237,0.080800,6291801600
1986-02-01,0.103237,0.119420,0.102121,0.111607,0.087351,3420860800
1986-03-01,0.111607,0.132254,0.108259,0.126116,0.098707,4264332800
1986-04-01,0.126116,0.146205,0.117188,0.135045,0.105695,4462684800
1986-05-01,0.135045,0.167411,0.132813,0.165179,0.129280,4954051200
1986-06-01,0.165179,0.174665,0.145089,0.160156,0.125348,4063360000
1986-07-01,0.160156,0.168527,0.133929,0.139509,0.109189,5691638400
1986-08-01,0.138951,0.169643,0.136719,0.165179,0.129280,3643516800
1986-09-01,0.165737,0.165737,0.141183,0.149554,0.117051,3578198400
1986-10-01,0.148996,0.157366,0.143973,0.154576,0.120981,2984038400
1986-11-01,0.155134,0.184152,0.151228,0.178571,0.139761,5206163200
1986-12-01,0.178571,0.195871,0.174665,0.180804,0.141509,4762576000
1987-01-01,0.180246,0.255580,0.179129,0.247768,0.193919,8268915200
1987-02-01,0.247768,0.318638,0.230469,0.312500,0.244583,6616176000
1987-03-01,0.313616,0.314732,0.277902,0.287946,0.225365,5959318400
1987-04-01,0.281250,0.357143,0.278460,0.353795,0.276903,6813161600
1987-05-01,0.354911,0.367188,0.323661,0.352679,0.276029,3838956800
1987-06-01,0.354911,0.386161,0.339286,0.361607,0.283448,3497536000
1987-07-01,0.363839,0.399554,0.325893,0.368304,0.288697,3070256000
1987-08-01,0.366071,0.484375,0.357143,0.482143,0.377931,3119300800
1987-09-01,0.488839,0.524554,0.433036,0.504464,0.395938,3075486400
1987-10-01,0.506696,0.533482,0.246652,0.344866,0.270675,6575699200
1987-11-01,0.345982,0.357143,0.272321,0.294643,0.231256,4234238400
1987-12-01,0.299107,0.390625,0.265625,0.375000,0.294968,4702264000
1988-01-01,0.381696,0.412946,0.341518,0.370536,0.291457,6221600000
1988-02-01,0.372768,0.390625,0.337054,0.383929,0.301991,3368467200
1988-03-01,0.386161,0.426339,0.345982,0.357143,0.281476,4882102400
1988-04-01,0.354911,0.378348,0.343750,0.366071,0.288512,3297929600
1988-05-01,0.363839,0.385045,0.333705,0.370536,0.292031,2638507200
1988-06-01,0.370536,0.417411,0.368304,0.412946,0.326100,3534731200
1988-07-01,0.415179,0.424107,0.377232,0.396205,0.312880,2186419200
1988-08-01,0.397321,0.408482,0.350446,0.356027,0.281151,2653313600
1988-09-01,0.354911,0.395089,0.337054,0.386161,0.305523,3060321600
1988-10-01,0.383929,0.386161,0.334821,0.344866,0.272851,3563649600
1988-11-01,0.343750,0.354911,0.316964,0.335938,0.265788,2939865600
1988-12-01,0.337054,0.375000,0.334821,0.359375,0.285081,2946070400
1989-01-01,0.359375,0.392857,0.323661,0.337054,0.267374,7345833600
1989-02-01,0.337054,0.359375,0.314732,0.323661,0.256750,4886268800
1989-03-01,0.323661,0.325893,0.299107,0.318080,0.253018,3859676800
1989-04-01,0.316964,0.371652,0.302455,0.348214,0.276988,3966424000
1989-05-01,0.343750,0.437500,0.343750,0.426339,0.339134,5253382400
1989-06-01,0.426339,0.448661,0.352679,0.368304,0.293611,3941280000
1989-07-01,0.372768,0.375000,0.337054,0.354911,0.282934,3688630400
1989-08-01,0.354911,0.408482,0.350446,0.397321,0.316744,3352305600
1989-09-01,0.397321,0.417411,0.383929,0.397321,0.317495,2020849600
1989-10-01,0.397321,0.449777,0.379464,0.415179,0.331765,4125049600
1989-11-01,0.412946,0.421875,0.379464,0.395089,0.315711,2524939200
1989-12-01,0.397321,0.408482,0.290179,0.314732,0.252119,5941185600
1990-01-01,0.314732,0.345982,0.286830,0.303571,0.243178,3747497600
1990-02-01,0.308036,0.314732,0.287946,0.303571,0.243178,2483891200
1990-03-01,0.299107,0.387277,0.296875,0.359375,0.288808,4556473600
1990-04-01,0.357143,0.395089,0.340402,0.351563,0.282530,3642475200
1990-05-01,0.354911,0.381696,0.345982,0.368304,0.295984,4115630400
1990-06-01,0.369420,0.400670,0.334821,0.399554,0.321988,3952054400
1990-07-01,0.397321,0.426339,0.357143,0.375000,0.302201,4163812800
1990-08-01,0.375000,0.390625,0.299107,0.330357,0.266224,3128339200
1990-09-01,0.325893,0.334821,0.243304,0.258929,0.209294,2206948800
1990-10-01,0.263393,0.285714,0.216518,0.274554,0.221923,5056116800
1990-11-01,0.272321,0.343750,0.265625,0.328125,0.265225,3254608000
1990-12-01,0.332589,0.404018,0.330357,0.383929,0.311369,4094092800
1991-01-01,0.381696,0.500000,0.375000,0.495536,0.401883,7037307200
1991-02-01,0.495536,0.555804,0.488839,0.511161,0.414555,5545780800
1991-03-01,0.508929,0.627232,0.508929,0.607143,0.493434,5210598400
1991-04-01,0.607143,0.654018,0.486607,0.491071,0.399100,7243051200
1991-05-01,0.428571,0.479911,0.392857,0.419643,0.341050,7972843200
1991-06-01,0.419643,0.441964,0.359375,0.370536,0.301910,4091662400
1991-07-01,0.377232,0.430804,0.372768,0.412946,0.336465,3783494400
1991-08-01,0.410714,0.495536,0.408482,0.473214,0.385572,4172649600
1991-09-01,0.470982,0.477679,0.415179,0.441964,0.360922,2393070400
1991-10-01,0.439732,0.502232,0.415179,0.459821,0.375505,3593990400
1991-11-01,0.457589,0.493304,0.424107,0.453125,0.370037,3696033600
1991-12-01,0.453125,0.517857,0.433036,0.503348,0.412039,2607169600
1992-01-01,0.497768,0.616071,0.495536,0.578125,0.473251,4703160000
1992-02-01,0.578125,0.625000,0.551339,0.602679,0.493351,2534996800
1992-03-01,0.604911,0.611607,0.515625,0.520089,0.426539,2985662400
1992-04-01,0.511161,0.546875,0.473214,0.536830,0.440269,3931390400
1992-05-01,0.535714,0.564732,0.520089,0.533482,0.437523,2703724800
1992-06-01,0.511161,0.531250,0.381696,0.428571,0.351483,4851683200
1992-07-01,0.428571,0.441964,0.388393,0.417411,0.343019,3632809600
1992-08-01,0.417411,0.421875,0.370536,0.410714,0.337515,2746531200
1992-09-01,0.412946,0.446429,0.390625,0.402902,0.331986,3055662400
1992-10-01,0.399554,0.482143,0.370536,0.468750,0.386243,3531427200
1992-11-01,0.468750,0.531250,0.459821,0.513393,0.423029,3126547200
1992-12-01,0.511161,0.546875,0.486607,0.533482,0.440517,3334318400
1993-01-01,0.531250,0.582589,0.511161,0.531250,0.438674,5542264000
1993-02-01,0.529018,0.549107,0.459821,0.473214,0.390751,4651281600
1993-03-01,0.473214,0.515625,0.448661,0.459821,0.380520,3661526400
1993-04-01,0.457589,0.468750,0.417411,0.457589,0.378673,3914411200
1993-05-01,0.457589,0.527902,0.455357,0.505580,0.418388,3200545600
1993-06-01,0.504464,0.520089,0.343750,0.352679,0.292466,7674396800
